feature_id	D39_lac_1	D39_lac_2	D39_lac_3	D39_lac_4	D39_lac_5	D39_lac_6	D39_LNnT_7	D39_LNnT_8	D39_LNnT_9	D39_LNnT_10	D39_LNnT_11	D39_LNnT_12	D39_6SL_13	D39_6SL_14	D39_6SL_15	D39_6SL_16	D39_6SL_17	D39_6SL_18
SPV_0029	7.093077022884199	7.046796833340697	7.03061261808657	6.943766470453485	6.704442007773963	6.616705622074207	6.805685917100903	6.79209227932647	6.743291787696779	6.685687834595988	6.719277598750217	6.57225799714056	6.757413199766567	6.755288653005306	6.814591238047571	6.68936013467758	6.707493970501402	6.618252965380156
SPV_0030	8.419820769680852	8.452913967487435	8.48481503234069	8.291112707924187	8.348977381447165	8.249736060133184	8.11336194158949	8.269376195988592	8.328099497223787	7.987991999152231	7.87124285921348	7.911427774973785	8.161492159436545	8.231058428765119	8.194743092731539	7.808929080702461	7.725963001406701	7.7044706847500946
SPV_0033	9.795849501408709	9.761315753224812	9.704697606022435	9.686348480443849	9.682403563304842	9.66954956387122	9.359954290690068	9.48195313557766	9.521629367609203	9.648318049460483	9.52845888844039	9.59804731810168	9.590580692261584	9.614090698262347	9.569884456844784	9.056154782401116	9.31426118262655	9.31831934420329
SPV_2460	4.931038465221135	5.027243333794942	4.8370556265188425	4.553475311332204	4.405089896024063	4.629014839745864	4.653699401245203	4.771095233279013	5.106447125102347	5.4031945049045556	5.602454265389563	5.730511760875399	5.046658407701376	5.239102191162232	5.34261295141265	5.044620946562146	4.842492543723442	4.934564618758852
SPV_0038	9.285329645032084	9.31184003475813	9.289885483832542	9.798301914965247	9.700339153947015	9.555956349213139	9.760613508727626	9.789435675486729	9.749929966608992	9.750602178379832	9.75077372922713	9.688083849304931	9.77458646755935	9.766511849495949	9.884400631869502	9.885077737535617	9.901385000197992	9.844103851176294
SPV_0039	7.369292482790128	7.371856513956924	7.349861253826925	6.911226785180107	6.920787151530728	6.92206775279141	7.262860959993431	6.977718702662992	7.132980302044409	6.9202380879025585	7.171924605903558	7.224935824810485	7.636850352547693	7.901447791838755	7.807622365346276	7.383676135184694	7.177382473919231	7.114919243128713
SPV_0040	10.096732946540273	10.15377621908186	10.112335600579486	10.309464347117475	10.252678117103924	10.197318855356732	9.475155478915617	9.607191947762304	9.511851976411268	9.672064445802704	9.614969379487828	9.575207617553696	10.03283545878594	9.875834313358501	10.219650912015771	9.65467679224127	9.711520205156399	9.702024997436698
SPV_0041	8.108122350263692	8.044280901826081	8.109255300244646	8.497775891650075	8.396248625491573	8.384894015858649	7.6775589888769495	7.807766105905568	7.828865904258524	7.710703894228132	7.671365445831576	7.715080887199019	8.088956664577553	8.034664734903249	8.203462220693837	7.6318450021568145	7.776875131305286	7.672665737980715
SPV_0042	7.058848761791025	7.066217805059545	6.94755061980389	7.341906935369104	7.367941108482785	7.285117020288634	6.5636191596823705	6.664532269016173	6.653108957636836	6.5943973177141295	6.507076052035081	6.414220242277103	6.941280781440992	6.8757304804666335	6.963929338543493	6.410853662241638	6.441565367393179	6.494968317426978
SPV_0043	7.509525781849094	7.431213914296196	7.454294676893349	8.004260591299362	7.908326721343034	7.831706479331716	7.14126456441073	7.270051839837766	7.251008120436078	7.153907811327935	7.069580863143962	7.058523164087418	7.49981354215009	7.41779534791982	7.680033969282037	7.066070963691133	7.144775181801487	7.084004202919476
SPV_0044	6.092554190628822	6.1915323208495785	6.17935330585861	6.700243571537613	6.699066285656234	6.679962345213326	5.945295107240601	6.181937995575996	6.1481244269813144	5.873281538472864	5.960320541797914	6.043172161706931	6.550063186690062	6.520235239300713	6.443245941861754	5.915392334895102	5.931646231401524	6.000589762900587
